id,gameweek,home_score,away_score,home_Team_id,away_Team_id,home_Manager_id,away_Manager_id
365,37,,,12,13,12,13
366,37,,,14,1,14,1
367,37,,,15,16,15,16
368,37,,,17,11,17,11
369,37,,,19,4,19,4
370,37,,,20,9,20,9
371,38,,,1,6,1,6
372,38,,,3,20,3,20
373,38,,,4,15,4,15
374,38,,,7,17,7,17
375,38,,,8,2,8,2
376,38,,,9,12,9,12
377,38,,,11,5,11,5
378,38,,,13,14,13,14
379,38,,,16,19,16,19
380,38,,,18,10,18,10
