total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,previous_pl_seasons,Player_pid
500,8851,51,12,25,163,0,0,2,14,2,0,1627,4,213
700,9554,70,29,32,130,0,0,1,7,1,0,1885,10,214
211,3946,21,6,21,37,0,0,0,16,3,0,475,5,215
160,3365,13,4,8,54,0,0,0,7,0,0,552,2,216
48,670,5,1,2,8,0,0,0,0,0,0,200,1,217
1217,27067,0,1,95,303,0,5,0,7,0,833,2162,10,218
15,491,0,0,1,9,0,0,0,0,0,21,75,2,219
514,9347,10,24,41,106,1,0,1,20,1,0,1422,6,220
743,17344,8,19,64,194,1,0,0,51,4,0,1775,8,221
752,18821,13,7,69,193,2,0,0,42,3,0,1661,8,222
963,23019,2,20,56,246,0,0,0,27,1,0,1662,10,223
885,21306,4,21,59,244,0,0,0,28,1,0,1677,9,224
163,4197,0,3,21,45,2,0,0,11,1,0,547,2,225
104,2671,1,0,11,35,0,0,0,9,0,0,353,1,226
275,9448,5,7,18,168,2,0,0,22,1,0,1091,7,227
471,8964,24,26,32,124,0,0,0,10,0,0,1994,5,228
818,15305,36,43,52,168,0,0,0,26,1,0,1950,8,229
913,14463,34,73,81,141,0,0,1,18,0,0,2920,6,230
931,16033,55,35,85,153,0,0,0,29,0,0,3057,6,231
304,6315,4,26,27,68,0,0,0,4,0,0,1298,3,232
290,7605,10,10,30,94,0,0,0,23,0,0,1353,3,233
127,3594,4,2,17,39,0,0,0,10,0,0,573,2,234
138,2134,7,11,9,26,0,0,0,3,0,0,568,3,235
888,10941,102,36,58,112,0,0,3,13,0,0,3409,5,239
329,5293,32,11,19,71,0,0,1,8,1,0,1272,3,240
80,766,8,2,1,12,0,0,0,1,0,0,242,1,241
656,14833,0,0,62,167,1,2,0,1,0,474,2026,5,242
21,360,0,0,3,2,0,0,0,0,0,7,40,1,243
480,11252,6,2,47,135,3,0,0,13,1,0,1437,8,244
439,10750,2,8,37,125,2,0,0,22,0,0,1191,7,245
8,315,0,0,1,4,0,0,0,1,0,0,36,3,246
250,6510,0,3,25,76,0,0,0,8,1,0,957,4,247
129,3011,0,1,15,30,0,0,0,9,0,0,455,2,248
43,1343,0,0,2,20,0,0,0,2,0,0,172,2,249
902,19832,20,53,51,211,0,0,0,38,3,0,1979,10,250
108,1924,1,1,13,18,0,0,0,8,0,0,257,1,251
32,695,0,1,3,6,0,0,0,0,0,0,123,1,252
22,257,0,1,2,1,0,0,0,1,0,0,40,1,253
177,5284,3,4,22,62,0,0,0,6,0,0,839,2,254
781,12491,38,51,60,139,0,0,0,11,1,0,2760,5,256
692,15713,32,27,41,188,0,0,0,44,2,0,1748,8,257
62,1484,2,1,7,21,0,0,0,2,0,0,259,1,258
834,22227,16,26,58,218,0,0,1,26,0,0,1941,10,259
1136,22700,43,82,37,306,0,0,3,48,1,0,1409,10,260
124,2646,5,6,10,29,0,0,0,8,0,0,491,4,261
171,3404,9,6,14,38,0,0,0,10,0,0,700,2,262
4,98,0,0,0,2,0,0,0,2,0,0,14,2,263
351,10364,12,4,45,128,0,0,0,25,1,0,1495,4,264
43,1202,1,1,6,10,0,0,0,3,0,0,200,1,265
77,1655,4,1,9,13,0,0,0,4,0,0,320,5,266
141,2632,11,6,14,29,0,0,0,2,0,0,593,1,267
