pid,name,nationality,position
466,Feghouli Sofiane,Algeria,MID
467,Tore Gokhan,Turkey,MID
468,Carroll Andy,England,FWD
469,Valencia Enner,Ecuador,FWD
470,Sakho Diafra,Senegal,FWD
471,Pope Nick,England,GKP
472,Robinson Paul,England,GKP
473,Gudmundsson Johann Berg,Iceland,MID
474,Klavan Ragnar,Estonia,DEF
475,Grujic Marko,Serbia,MID
476,Denayer Jason,Belgium,DEF
477,Barragan Antonio,Spain,DEF
478,Negredo Alvaro,Spain,FWD
479,Zuniga Juan,Colombia,DEF
480,Hoban Tommie,Ireland,DEF
481,Dja Djedje Brice,Cote D'Ivoire,DEF
482,Doucoure Abdoulaye,France,MID
483,Vydra Matej,Czech Republic,FWD
484,Holding Rob,England,DEF
485,Wijnaldum Georginio,Netherlands,MID
486,Sobhi Ramadan,Egypt,MID
487,Aina Ola,England,DEF
488,Gueye Idrissa,Senegal,MID
489,Sane Leroy,Germany,MID
490,Guzan Bradley,United States,GKP
491,Ramirez Gaston,Uruguay,MID
492,Pied Jeremy,France,DEF
493,Akpom Chuba,England,FWD
494,Kaikai Sullay,England,MID
495,Holgate Mason,England,DEF
496,Chilwell Benjamin,England,DEF
497,Kapustka Bartosz,Poland,MID
498,Angelino,Spain,DEF
499,Djilobodji Papy,Senegal,DEF
500,Llorente Fernando,Spain,FWD
501,Carter-Vickers Cameron,United States,DEF
502,Lafferty Daniel,Northern Ireland,DEF
503,Pogba Paul,France,MID
504,Stephens Jack,England,DEF
505,Masuaku Arthur,France,DEF
506,Love Donald,Scotland,DEF
507,Baston Borja,Spain,FWD
508,Ladapo Olayinka Fredrick Oladotun,England,FWD
509,Anderson Keshi,England,FWD
510,Wilson Kane,England,DEF
511,Field Sam,England,MID
512,Davies Tom,England,MID
513,Winks Harry,England,MID
514,Olley Greg,England,MID
515,Clackstone Josh,England,DEF
516,Bowen Jarrod,England,FWD
517,Kuciak Dusan,Slovakia,GKP
518,Luer Greg,England,FWD
519,Tymon Josh,England,DEF
520,Gooch Lynden,United States,MID
