total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,influence,creativity,threat,ict_index,Player_pid
17,85,1,1,0,0,0,0,0,0,0,0,0,57.8,16.2,84.0,15.7,96
99,1228,11,5,7,11,0,0,0,4,0,0,533,567.2,328.3,803.0,169.8,97
0,0,0,0,0,0,0,0,0,0,0,0,62,0.0,0.0,0.0,0.0,98
0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,99
13,450,0,0,1,9,0,0,0,1,0,13,266,98.6,0.0,0.0,9.8,100
0,0,0,0,0,0,0,0,0,0,0,0,82,0.0,0.0,0.0,0.0,101
19,810,0,0,0,17,0,0,0,0,0,24,0,182.8,0.0,0.0,18.2,102
33,772,3,0,1,19,0,0,0,2,0,0,221,256.8,6.3,154.0,41.8,103
33,900,2,1,1,19,0,0,0,1,0,0,480,255.8,45.6,206.0,50.9,104
29,1257,0,1,1,26,0,0,0,1,0,0,333,238.2,89.4,112.0,44.0,105
16,776,0,1,0,19,0,0,0,1,0,0,96,132.2,64.2,6.0,20.3,106
25,936,0,0,2,14,0,0,0,2,0,0,366,224.8,18.0,30.0,27.2,107
6,270,0,0,0,3,0,0,0,0,0,0,354,53.6,33.5,9.0,9.7,108
45,1048,1,4,3,14,0,0,0,3,0,0,469,238.0,326.7,252.0,81.8,109
37,1051,0,4,1,18,0,0,0,4,0,0,381,243.4,495.7,147.0,88.7,110
56,1105,2,6,1,23,0,0,0,3,0,0,353,335.2,289.1,401.0,102.7,111
2,90,0,0,0,1,0,0,0,0,0,0,118,11.8,31.2,0.0,4.3,112
28,667,1,1,2,12,0,0,0,0,0,0,121,98.2,76.2,21.0,19.4,113
55,1003,4,2,1,21,0,0,0,3,0,0,282,284.2,131.4,183.0,59.9,114
1,9,0,0,0,1,0,0,0,0,0,0,54,4.8,12.8,0.0,1.8,115
0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,116
18,287,0,1,2,6,0,0,0,0,0,0,56,56.2,98.2,40.0,19.6,117
20,728,1,0,0,21,0,0,1,4,0,0,397,155.0,228.7,237.0,62.0,118
3,25,0,0,0,2,0,0,0,0,0,0,220,4.0,0.9,4.0,1.0,119
39,1049,1,2,2,19,0,0,0,3,0,0,315,185.6,325.6,246.0,75.4,120
2,24,0,0,0,1,0,0,0,0,0,0,12,0.0,3.2,13.0,1.5,121
18,412,2,0,0,6,0,0,0,1,0,0,225,87.6,36.2,132.0,25.0,122
7,90,0,0,1,0,0,0,0,0,0,3,110,21.6,0.0,0.0,2.2,123
