id,gameweek,home_score,away_score,home_team,away_team,home_mgr,away_mgr
213,22,,,4,7,Antonio Conte,Mike Phelan
214,22,,,5,6,Alan Pardew,Ronald Koeman
215,22,,,9,16,Jurgen Klopp,Bob Bradley
216,22,,,10,17,Pep Guardiola,Mauricio Pochettino
217,22,,,12,20,Aitor Karanka,Slaven Bilic
218,22,,,13,8,Claude Puel,Claudio Ranieri
219,22,,,14,11,Mark Hughes,Jose Mourinho
220,22,,,19,15,Tony Pullis,David Moyes
221,23,,,1,18,Arsene Wenger,Walter Mazzarri
222,23,,,2,5,Eddie Howe,Alan Pardew
223,23,,,3,8,Sean Dyche,Claudio Ranieri
224,23,,,12,19,Aitor Karanka,Tony Pullis
225,23,,,15,17,David Moyes,Mauricio Pochettino
226,23,,,16,13,Bob Bradley,Claude Puel
227,23,,,20,10,Slaven Bilic,Pep Guardiola
228,23,,,9,4,Jurgen Klopp,Antonio Conte
229,23,,,11,7,Jose Mourinho,Mike Phelan
230,23,,,14,6,Mark Hughes,Ronald Koeman
231,24,,,4,1,Antonio Conte,Arsene Wenger
232,24,,,5,15,Alan Pardew,David Moyes
233,24,,,6,2,Ronald Koeman,Eddie Howe
234,24,,,7,9,Mike Phelan,Jurgen Klopp
235,24,,,8,11,Claudio Ranieri,Jose Mourinho
236,24,,,10,16,Pep Guardiola,Bob Bradley
237,24,,,13,20,Claude Puel,Slaven Bilic
238,24,,,17,12,Mauricio Pochettino,Aitor Karanka
239,24,,,18,3,Walter Mazzarri,Sean Dyche
240,24,,,19,14,Tony Pullis,Mark Hughes
241,25,,,1,7,Arsene Wenger,Mike Phelan
242,25,,,2,10,Eddie Howe,Pep Guardiola
243,25,,,3,4,Sean Dyche,Antonio Conte
244,25,,,9,17,Jurgen Klopp,Mauricio Pochettino
245,25,,,11,18,Jose Mourinho,Walter Mazzarri
246,25,,,12,6,Aitor Karanka,Ronald Koeman
247,25,,,14,5,Mark Hughes,Alan Pardew
248,25,,,15,13,David Moyes,Claude Puel
249,25,,,16,8,Bob Bradley,Claudio Ranieri
250,25,,,20,19,Slaven Bilic,Tony Pullis
251,26,,,4,16,Antonio Conte,Bob Bradley
252,26,,,5,12,Alan Pardew,Aitor Karanka
253,26,,,6,15,Ronald Koeman,David Moyes
254,26,,,7,3,Mike Phelan,Sean Dyche
255,26,,,8,9,Claudio Ranieri,Jurgen Klopp
256,26,,,10,11,Pep Guardiola,Jose Mourinho
257,26,,,13,1,Claude Puel,Arsene Wenger
258,26,,,17,14,Mauricio Pochettino,Mark Hughes
259,26,,,18,20,Walter Mazzarri,Slaven Bilic
260,26,,,19,2,Tony Pullis,Eddie Howe
261,27,,,8,7,Claudio Ranieri,Mike Phelan
262,27,,,9,1,Jurgen Klopp,Arsene Wenger
263,27,,,11,2,Jose Mourinho,Eddie Howe
264,27,,,14,12,Mark Hughes,Aitor Karanka
265,27,,,15,10,David Moyes,Pep Guardiola
266,27,,,16,3,Bob Bradley,Sean Dyche
267,27,,,17,6,Mauricio Pochettino,Ronald Koeman
268,27,,,18,13,Walter Mazzarri,Claude Puel
269,27,,,19,5,Tony Pullis,Alan Pardew
270,27,,,20,4,Slaven Bilic,Antonio Conte
271,28,,,1,8,Arsene Wenger,Claudio Ranieri
272,28,,,2,20,Eddie Howe,Slaven Bilic
273,28,,,4,18,Antonio Conte,Walter Mazzarri
274,28,,,5,17,Alan Pardew,Mauricio Pochettino
275,28,,,6,19,Ronald Koeman,Tony Pullis
276,28,,,7,16,Mike Phelan,Bob Bradley
277,28,,,10,14,Pep Guardiola,Mark Hughes
278,28,,,12,15,Aitor Karanka,David Moyes
279,28,,,13,11,Claude Puel,Jose Mourinho
280,28,,,9,3,Jurgen Klopp,Sean Dyche
281,29,,,2,16,Eddie Howe,Bob Bradley
282,29,,,5,18,Alan Pardew,Walter Mazzarri
283,29,,,6,7,Ronald Koeman,Mike Phelan
284,29,,,10,9,Pep Guardiola,Jurgen Klopp
285,29,,,12,11,Aitor Karanka,Jose Mourinho
286,29,,,14,4,Mark Hughes,Antonio Conte
287,29,,,15,3,David Moyes,Sean Dyche
288,29,,,17,13,Mauricio Pochettino,Claude Puel
289,29,,,19,1,Tony Pullis,Arsene Wenger
290,29,,,20,8,Slaven Bilic,Claudio Ranieri
291,30,,,1,10,Arsene Wenger,Pep Guardiola
292,30,,,3,17,Sean Dyche,Mauricio Pochettino
293,30,,,4,5,Antonio Conte,Alan Pardew
294,30,,,7,20,Mike Phelan,Slaven Bilic
295,30,,,8,14,Claudio Ranieri,Mark Hughes
296,30,,,9,6,Jurgen Klopp,Ronald Koeman
297,30,,,11,19,Jose Mourinho,Tony Pullis
298,30,,,13,2,Claude Puel,Eddie Howe
299,30,,,16,12,Bob Bradley,Aitor Karanka
300,30,,,18,15,Walter Mazzarri,David Moyes
301,31,,,1,20,Arsene Wenger,Slaven Bilic
302,31,,,3,14,Sean Dyche,Mark Hughes
303,31,,,7,12,Mike Phelan,Aitor Karanka
304,31,,,8,15,Claudio Ranieri,David Moyes
305,31,,,11,6,Jose Mourinho,Ronald Koeman
306,31,,,16,17,Bob Bradley,Mauricio Pochettino
307,31,,,18,19,Walter Mazzarri,Tony Pullis
308,31,,,4,10,Antonio Conte,Pep Guardiola
309,31,,,9,2,Jurgen Klopp,Eddie Howe
310,31,,,13,5,Claude Puel,Alan Pardew
311,32,,,2,4,Eddie Howe,Antonio Conte
312,32,,,5,1,Alan Pardew,Arsene Wenger
313,32,,,6,8,Ronald Koeman,Claudio Ranieri
314,32,,,10,7,Pep Guardiola,Mike Phelan
315,32,,,12,3,Aitor Karanka,Sean Dyche
316,32,,,14,9,Mark Hughes,Jurgen Klopp
317,32,,,15,11,David Moyes,Jose Mourinho
318,32,,,17,18,Mauricio Pochettino,Walter Mazzarri
319,32,,,19,13,Tony Pullis,Claude Puel
